kana,kanji,english,category,sound_file,note,,,,,,
アニメ,,animation,Nouns,Kaiwa_Bunpo_L20/K20_07.mp3,k20-05,,,,,,15_0
しょうせつ,小説,novel,,,,,,,,,
しゅみ,趣味,hobby; pastime,,,,,,,,,
つき,月,moon,,,,,,,,,
うちゅうじん,宇宙人,space alien,,,,,,,,,
せんす,扇子,(hand) fan,,,,,,,,,
スニーカー,,sneakers,,,,,,,,,
ヘッドホン,,headphones,,,,,,,,,
おにぎり,お握り（rare）,rice ball,,,,,,,,,
どうぶつ,動物,animal,,,,,,,,,
あちら,彼方（rare）,that way (polite),,,,,,,,,
かかりのもの,係りの者,our person in charge,,,,,,,,,
おたく,お宅,(someone's) home/house,,,,,,,,,
～や,～屋,…shop,,,,,,,,,
してん,支店,branch office,,,,,,,,,
ドイツ,独逸（rare）,Germany,,,,,,,,,
しんごう,信号,traffic light,,,,,,,,,
かど,角,corner,,,,,,,,,
じ,字,letter; character,,,,,,,,,
おと,音,sound,,,,,,,,,
おもい,重い,heavy; serious (illness),い-adjectives,,,,,,,,
かるい,軽い,light,,,,,,,,,
ふしぎ,不思議,mysterious,な-adjectives,,,,,,,,
おる,居る（rare）,extra-modest expression for いる,U-verbs,,,,,,,,
まいる,参る,extra-modest expression for いく、くる,,,,,,,,,
もうす,申す,extra-modest expression for いう,,,,,,,,,
いたす,致す,extra-modest expression for する,,,,,,,,,
いただく,頂く,extra-modest expression for たべる、のむ,,,,,,,,,
ござる,御座る,extra-modest expression for ある,,,,,,,,,
～ておる,～て居る（rare）,extra-modest expression for ～ている,,,,,,,,,
～でござる,～御座る（rare）,extra-modest expression for です,,,,,,,,,
いただく,頂く,humble expression for もらう,,,,,,,,,
うかがう,伺う,(1) to humbly visit (place に); to humbly ask (person に),,,,,,,,,
まがる,曲がる,to turn (right/left) (corner を direction に),,,,,,,,,
もどる,戻る,to return; to come back (～に),,,,,,,,,
さしあげる,差し上げる,humble expression for あげる,Ru-verbs,,,,,,,,
きこえる,聞こえる,to be audible (～が),,,,,,,,,
つたえる,伝える,to convery message (person に),,,,,,,,,
またせる,待たせる,to keep (someone) waiting (～を),,,,,,,,,
つづける,続ける,to continue (～を),,,,,,,,,
こうかんする,交換すする,to exchange (XとYを),Irregular_Verbs,,,,,,,,
へんぴんする,返品する,to return (merchandise) (～を),,,,,,,,,
せいかつする,生活する,to lead a life,,,,,,,,,
～かい,～階,…th floor,Adverbs_and_Other_Expressions,,,,,,,,
いっかい,一階,first floor,,,,,,,,,
～みたいなX,～見たいなX（rare）,X like …,,,,,,,,,
また,又（rare）,again,,,,,,,,,
では,,well then (polite),,,,,,,,,
できれば,出来れば（rare）,if possible,,,,,,,,,
まことに,誠に,really (very polite),,,,,,,,,
よろしかったら,宜しかったら,if it is okay (polite),,,,,,,,,
かしこまりました,畏まりました（rare）,certainly,,,,,,,,,
しつれいしました,失礼しました,I'm very sorry,,,,,,,,,
もうしわけありません,申し訳ありません,You have my apologies (polite),,,,,,,,,
