kana,kanji,english,category,sound_file,note
くつした,靴下,socks,Nouns,Kaiwa_Bunpo_L20/K23_07.mp3,k23-07
ふくる,袋,sack; plastic/paper bag,,,
ただ,只（rare）,free of charge,,,
ゆうしょく,夕食,dinner,,,
ばしょ,場所,place,,,
かいだん,階段,stairs,,,
しょうがっこう,小学校,elementary school,,,
めんせつ,面接,interview,,,
けんこう,けんこう,health,,,
りそう,りそう,ideal,,,
るそばん,るすばん,looking after a house during someone's absence,,,
メッセージ,,message; text,,,
きゅうこう,休講,class cancellation,,,
かいがいりょこう,海外旅行,trip to a foreign country,,,
ぼんおどり,盆踊り,Bon dance (Japanese traditional dance),,,
おもいで,思い出,memory,,,
しゃかい,社会,society,,,
けっか,結果,result,,,
ちょうさ,調査,survey,,,
まずい,不味い（rare）,(food is) terrible,い-adjectives,,
かわいそう,可哀相（rare）,pitiful; feel sorry for; poor thing,な-adjectives,,
あめがやむ,（rare：雨が止む）,the rain stops,U-verbs,,
ちがう,違う,to be different; to be wrong (～と),,,
なくなる,無くなる（rare）,to be lost; to disappear (～が),,,
いなくなる,（rare）,(someone) is gone; to disappear (～が),,,
おせわになる,お世話になる,to be in someone's care (～に),,,
おなかをこわす,お腹を壊す（rare）,to have a stomache,,,
きにいる,気に入る,to find something agreeable (～が/を),,,
わるぐちをいう,悪口を言う,to talk behind someone's back,,,
こたえる,答える,to answer (～に),Ru-verbs,,
はなれる,離れる,(something/someonse) seperates; parts from (～と),,,
がっかりする,ガッカリする（hiragana is more common）,to be dissapointed (～に),Irregular_Verbs,,
がまんする,我慢する,to be tolerant/patient (～を),,,
どうじょうする,同情する,to sympathize (～に),,,
～かおをする,～顔をする,to look… (facial expression),,,
カンニングする,,to cheat in an exam,,,
チェックする,,to check (～を),,,
せわをする,世話をする,to take care of…(～の),,,
もどってくる,優勝する,to win a championship,,,
そんな～,戻ってくる,such…; that kind of…,Adverbs_and_Other_Expressions,,
～ために,,for…; for the sake of…,,,
ものすごく,,extremely,,,
そろそろ,ソロソロ(hiragana is more common),it is about time to...,,,
さいごに,最後に,finally,,,
げんきでね,元気でね,Take care of yourself.,,,
そうそう,然う然う（rare）,You are right.,,,
