kana,kanji,english,category,sound_file
おとな,大人,adult,Nouns,Kaiwa_Bunpo_L13/K13_07.mp3
べんごし,弁護士,lawyer,,
わたくし,私(super formal),I (formal),,
カレー,,curry,,
こうちゃ,紅茶,black tea,,
きもの,着物,kimono; Japanese traditional dress,,
セーター,,sweater,,
がっき,楽器,musical instrument,,
からて,空手,karate,,
ゴルフ,,golf,,
バイク,,motorcycle,,
ぞう,像,elephant,,
からだ,体,body,,
がいこくご,外国語,foreign language,,
ことば,言葉,language (words),,
ぶんぼう,文法,grammar,,
アプリ,,application,,
アパート,,apartment (smaller building),,
マンション,,apartment / condominium (larger building),,
くうこう,空港,airport,,
みせ,店,shop; store,,
ぶっか,物価,consumer prices,,
こうこく,広告,advertisement,,
ぼしゅう,募集,recruitment,,
やくそく,約束,promise; appointment,,
うれしい,嬉しい,glad,い-adjectives,
かなしい,悲しい,sad,,
きびしい,厳しい,strict,,
きぶんがわるい,気分が悪い,to feel sick,,
からい,辛い,spicy; salty,,
すごい,凄い(rare),incredible; awesome,,
ちかい,近い,close;near,,
いろいろ,色々,various; different kinds of,な-adjectives,
しおわせ,幸せ,happy (lasting happiness),,
だめ,駄目(rare),no good,,
おむ,編む,to knit (~を),う-verbs,
がんばる,頑張る,to do one’s best; to try hard,,
なく,泣く,to cry,,
みがく,磨く,to brush (teeth); to polish (~を),,
やくそくをまもる,約束を守る,to keep a promise (lit.”protect a promise”),,
かんどうする,感動する,to be moved/touched (by …) (~に),Irregular Verbs,
〜かい,〜回,… times,Adverbs and Other Expressions,
〜キロ,,… kilometers;… kilograms,,
ぜんぶ,全部,all,,
〜ともうします,〜と申します,my name is ~,,
とくに,特に,especially,,
いちにち,一日,one day,Numbers,
ふつか,二日,two days,,
みっか,三日,three days,,
よっか,四日,four days,,
いつか,五日,five days,,
むいか,六日,six days,,
なのか,七日,seven days,,
ようか,八日,eight days,,
ここのか,九日,nine days,,
とおか,十日,ten days,,
