kana,kanji,english,category,sound_file,note
えきいん（さん）,駅員（さん）,station attendant,Nouns,Kaiwa_Bunpo_L16/K16_07.mp3,K16_07
おや,親,parent,,,
しんせき,親せき,relatives,,,
ごみ,"塵（rare, ゴミ is common）",garbage,,,
さとう,砂糖,sugar,,,
おおきさ,大きさ,size,,,
ファイル,,(file) folder; portfolio; file,,,
みち,道,way; road; directions,,,
きまつしけん,期末試験,final examination,,,
けんきゅう,研究,research,,,
だいがくいん,大学院,graduate school,,,
しょうかくきん,奨学金,scholarship,,,
すいせんじょう,推薦状,letter of recommendation,,,
たいふう,台風,typhoon,,,
ぶんか,文化,culture,,,
へんじ,返事,reply,,,
ひ,日,day,,,
きたない,汚い,dirty,い-adjectives,,
おこす,起こす,to wake (someone) up (～を),U-verbs,,
おごる,奢る（rare）,to treat (someone) to a meal (person に meal を),,,
わらう,笑う,to laugh,,,
おちこむ,落ち込む,to get depressed,,,
こまる,困る,to have difficulty (to be troubled),,,
だす,出す,to take (something) out; to hand in (something) (～を),,,
なおす,直す,to correct; to fix (～を),,,
みつかる,見つかる,to be found (～が),,,
やくす,訳す,to translate (source を target に),,,
かす,貸す,to lend (person に thing を),,,
つれていく,連れていく,to take (someone) to (a place)  (person を place に),,,
みちにまよう,道に迷う,to become lost; to lose one's way,,,
むかえにいく,迎えに行く,to go to pickup  (place まで/ person を),,,
あつめる,集める,to collect (～を),Ru-verbs,,
いれる,入れる,to put (something) in (thing を place に),,,
みせる,見せる,to show (person に thing を),,,
のりおくれる,乗り遅れる,"to miss (a train, bus, etc.) (～に)",,,
アイロンをかける,アイロンを掛ける（rare）,to iron (clothes) (～に),,,
あさねぼうする,朝寝坊する,to oversleep,Irregular_Verbs,,
あんないする,案内する,to show (someone) around  (place を),,,
せつめいする,説明する,to explain,,,
むかえにくる,迎えに来る,to come to pickup (place まで/に person を),,,
きょうじゅうに,今日中に,by the end of today,Adverbs_and_Other_Expressions,,
じゅぎょうちゅうに,授業中に,in class; during the class,,,
このあいだ,この間,the other day,,,
これから,此れから（rare）,from now on,,,
このぐらい,此の位（rare）,about this much (=これぐらい/このくらい/これくらい),,,
じぶんで,自分で,(do something) by oneself,,,
ほかの,他の,other,,,
ええと,,well…; let me see…,,,
じつは,実は,actually; in fact,,,
～いがい,～以外,other than…,,,
ごめん,御免（rare）,I'm sorry. (casual),,,
しつれいします,失礼します,Excuse me; Sorry to interrupt you,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
おめだとうございます,お目出度う御座います(rare),Congratulations!,,,
